city,hdi,avg_sch_dur,gender_empwr,life_exp,pov_pop_perc
Nias Barat,61.14,6.14,65.80,68.82,25.51
Kota Sibolga,73.41,10.18,74.57,68.77,12.36
Kota Tanjung Balai,68.51,9.26,59.78,63.02,14.04
Kota Pematang Siantar,78.57,11.15,61.56,73.33,8.63
Kota Tebing Tinggi,75.08,10.28,53.60,70.76,9.94
Kota Medan,80.97,11.38,63.93,72.98,8.08
Kota Binjai,75.89,10.77,70.26,72.25,5.66
Kota Padangsidimpuan,75.06,10.70,65.89,69.15,7.26
Kota Gunungsitoli,69.30,8.58,66.97,71.02,16.23
Kepulauan Mentawai,61.26,7.08,48.36,64.68,14.43
Pesisir Selatan,70.08,8.25,55.79,70.73,7.88
Solok,69.08,7.85,63.89,68.34,7.98
Sijunjung,67.66,8.10,59.96,66.02,7.04
Tanah Datar,72.14,8.45,58.35,69.73,4.66
Padang Pariaman,70.59,7.86,49.10,68.58,7.10
Agam,72.37,8.85,63.32,72.17,6.75
Lima Puluh Kota,69.67,7.98,50.18,69.70,6.97
Pasaman,66.46,7.86,64.22,67.18,7.21
Solok Selatan,68.94,8.16,50.23,67.58,7.33
Dharmasraya,71.52,8.46,51.42,71.10,6.29
Pasaman Barat,68.21,8.06,60.88,67.67,7.14
Kota Padang,82.68,11.34,67.49,73.57,4.48
Kota Solok,78.38,11.02,58.47,73.45,3.24
Kota Sawah Lunto,72.39,9.97,66.18,69.87,2.17
Kota Padang Panjang,78.00,11.45,66.57,72.77,5.60
Kota Bukittinggi,80.71,11.32,60.99,74.22,4.60
Kota Payakumbuh,78.95,10.72,67.81,73.61,5.68
Kota Pariaman,76.70,10.37,54.47,70.15,4.76
Kuantan Singingi,70.78,8.58,57.64,68.44,9.56
Indragiri Hulu,70.05,8.17,52.65,70.20,6.06
Indragiri Hilir,66.84,7.22,64.83,67.66,6.54
Pelalawan,71.85,8.49,47.45,71.03,9.62
Siak,74.07,9.65,42.77,71.03,5.03
Kampar,73.15,9.25,54.41,70.64,7.71
Rokan Hulu,69.93,8.38,52.81,69.89,10.53
Bengkalis,73.44,9.41,54.27,71.11,6.27
Rokan Hilir,69.40,8.24,62.23,70.17,7.01
Kepulauan Meranti,65.93,7.51,62.57,67.53,26.93
Kota Pekanbaru,81.35,11.43,67.79,72.22,2.52
Kota Dumai,74.64,9.85,56.78,70.82,3.56
Kerinci,70.95,8.21,59.96,69.82,7.13
Merangin,69.07,7.68,54.25,71.18,8.48
Sarolangun,69.72,7.76,60.07,69.09,8.45
Batang Hari,69.67,7.85,75.56,70.44,9.75
Muaro Jambi,69.01,8.33,63.18,71.18,3.83
Tanjung Jabung Timur,63.92,6.35,68.81,66.08,11.54
Tanjung Jabung Barat,67.54,7.70,68.31,68.03,10.56
Tebo,69.02,7.57,51.98,69.91,6.47
Bungo,69.86,8.15,59.18,67.61,5.60
Kota Jambi,78.26,10.91,68.48,72.57,8.12
Kota Sungai Penuh,75.36,10.08,52.87,72.01,2.81
Ogan Komering Ulu,69.45,8.69,50.01,68.01,12.77
Ogan Komering Ilir,66.96,7.03,61.22,68.41,15.01
Muara Enim,68.88,7.78,71.07,68.63,12.41
Lahat,67.62,8.45,67.07,65.76,15.92
Musi Rawas,66.92,7.51,56.94,67.86,13.37
Musi Banyuasin,67.83,7.61,60.06,68.54,16.41
Banyu Asin,66.90,7.19,60.70,68.76,11.33
Ogan Komering Ulu Selatan,65.43,7.83,55.33,66.76,10.53
Ogan Komering Ulu Timur,69.34,7.54,59.51,68.87,10.43
Ogan Ilir,67.22,7.85,60.19,65.21,13.31
Empat Lawang,65.10,7.39,56.93,64.81,12.30
Penukal Abab Lematang Ilir,64.33,6.75,51.04,68.07,13.47
Musi Rawas Utara,64.32,6.50,48.51,65.43,19.12
Kota Palembang,78.44,10.52,58.28,70.54,10.90
Kota Prabumulih,74.40,9.72,59.90,70.09,11.61
Kota Pagar Alam,68.44,9.14,57.68,66.41,8.90
Kota Lubuklinggau,74.81,9.81,56.63,69.04,12.95
Bengkulu Selatan,70.27,9.02,55.20,67.79,18.54
Rejang Lebong,70.10,8.26,64.71,68.37,15.95
Bengkulu Utara,68.80,7.86,65.77,68.04,11.65
Kaur,66.78,8.25,62.13,66.50,18.89
Seluma,66.69,7.91,65.68,67.56,19.10
Mukomuko,68.12,7.99,56.78,66.51,11.70
Lebong,66.84,7.90,67.14,63.12,11.77
Kepahiang,67.67,7.93,65.09,67.78,14.74
Bengkulu Tengah,67.30,7.22,76.71,68.12,8.80
